id;cap;sigla_provincia
348;13032;VC
349;13020;VC
350;13040;VC
351;13041;VC
352;13022;VC
353;13040;VC
354;13011;VC
355;13012;VC
356;13040;VC
357;13023;VC
358;13026;VC
359;13010;VC
360;13030;VC
361;13040;VC
362;13030;VC
363;13030;VC
364;13025;VC
365;13043;VC
366;13010;VC
367;13030;VC
368;13033;VC
369;13020;VC
370;13044;VC
371;13040;VC
372;13034;VC
373;13025;VC
374;13040;VC
375;13030;VC
376;13045;VC
377;13030;VC
378;13030;VC
379;13010;VC
380;13046;VC
381;13035;VC
382;13034;VC
383;13046;VC
384;13045;VC
385;13020;VC
386;13040;VC
387;13010;VC
388;13047;VC
389;13030;VC
390;13040;VC
391;13030;VC
392;13010;VC
393;13020;VC
394;13020;VC
395;13010;VC
396;13012;VC
397;13017;VC
398;13030;VC
399;13020;VC
400;13020;VC
401;13030;VC
402;13060;VC
403;13036;VC
404;13020;VC
405;13040;VC
406;13040;VC
407;13040;VC
408;13040;VC
409;13047;VC
410;13048;VC
411;13027;VC
412;13028;VC
413;13037;VC
414;13010;VC
415;13038;VC
416;13039;VC
417;13049;VC
418;13018;VC
419;13019;VC
420;13100;VC
421;13030;VC
422;13010;VC
423;13020;VC
424;13029;VC
425;13024;VC
426;28010;NO
427;28010;NO
428;28011;NO
429;28041;NO
430;28010;NO
431;28043;NO
432;28061;NO
433;28010;NO
434;28010;NO
435;28010;NO
436;28071;NO
437;28021;NO
438;28040;NO
439;28010;NO
440;28072;NO
441;28010;NO
442;28062;NO
443;28064;NO
444;28060;NO
445;28060;NO
446;28060;NO
447;28060;NO
448;28060;NO
449;28053;NO
450;28010;NO
451;28010;NO
452;28010;NO
453;28065;NO
454;28010;NO
455;28060;NO
456;28012;NO
457;28060;NO
458;28010;NO
459;28040;NO
460;28073;NO
461;28010;NO
462;28066;NO
463;28070;NO
464;28010;NO
465;28074;NO
466;28024;NO
467;28060;NO
468;28075;NO
469;28045;NO
470;28064;NO
471;28040;NO
472;28014;NO
473;28060;NO
474;28040;NO
475;28040;NO
476;28046;NO
477;28040;NO
478;28010;NO
479;28015;NO
480;28010;NO
481;28070;NO
482;28100;NO
483;28047;NO
484;28040;NO
485;28016;NO
486;28040;NO
487;28010;NO
488;28028;NO
489;28010;NO
490;28076;NO
491;28050;NO
492;28077;NO
493;28060;NO
494;28078;NO
495;28068;NO
496;28017;NO
497;28060;NO
498;28060;NO
499;28064;NO
500;28070;NO
501;28010;NO
502;28060;NO
503;28019;NO
504;28070;NO
505;28070;NO
506;28069;NO
507;28010;NO
508;28040;NO
509;28079;NO
510;28060;NO
511;28060;NO
512;28013;NO
513;12021;CN
514;12010;CN
515;12051;CN
516;12050;CN
517;12070;CN
518;12010;CN
519;12050;CN
520;12071;CN
521;12031;CN
522;12040;CN
523;12050;CN
524;12032;CN
525;12060;CN
526;12060;CN
527;12070;CN
528;12081;CN
529;12020;CN
530;12060;CN
531;12041;CN
532;12050;CN
533;12074;CN
534;12010;CN
535;12060;CN
536;12050;CN
537;12011;CN
538;12050;CN
539;12060;CN
540;12012;CN
541;12042;CN
542;12080;CN
543;18025;CN
544;12030;CN
545;12020;CN
546;12022;CN
547;12072;CN
548;12043;CN
549;12020;CN
550;12070;CN
551;12023;CN
552;12030;CN
553;12030;CN
554;12061;CN
555;12020;CN
556;12030;CN
557;12050;CN
558;12020;CN
559;12040;CN
560;12070;CN
561;12050;CN
562;12060;CN
563;12020;CN
564;12070;CN
565;12060;CN
566;12053;CN
567;12050;CN
568;12030;CN
569;12030;CN
570;12020;CN
571;12044;CN
572;12040;CN
573;12050;CN
574;12010;CN
575;12040;CN
576;12073;CN
577;12062;CN
578;12013;CN
579;12060;CN
580;12050;CN
581;12060;CN
582;12040;CN
583;12074;CN
584;12054;CN
585;12024;CN
586;12050;CN
587;12030;CN
588;12100;CN
589;12014;CN
590;12055;CN
591;12063;CN
592;12025;CN
593;12020;CN
594;12010;CN
595;12030;CN
596;12060;CN
597;12030;CN
598;12050;CN
599;12045;CN
600;12082;CN
601;12083;CN
602;12020;CN
603;12010;CN
604;12030;CN
605;12075;CN
606;12040;CN
607;12070;CN
608;12070;CN
609;12040;CN
610;12060;CN
611;12050;CN
612;12060;CN
613;12020;CN
614;12030;CN
615;12064;CN
616;12050;CN
617;12060;CN
618;12076;CN
619;12070;CN
620;12015;CN
621;12070;CN
622;12020;CN
623;12050;CN
624;12060;CN
625;12056;CN
626;12030;CN
627;12030;CN
628;12040;CN
629;12020;CN
630;12060;CN
631;12030;CN
632;12020;CN
633;12010;CN
634;12070;CN
635;12070;CN
636;12080;CN
637;12080;CN
638;12030;CN
639;12060;CN
640;12084;CN
641;12077;CN
642;12065;CN
643;12046;CN
644;12080;CN
645;12040;CN
646;12040;CN
647;12050;CN
648;12025;CN
649;12020;CN
650;12040;CN
651;12070;CN
652;12066;CN
653;12033;CN
654;12040;CN
655;12060;CN
656;12030;CN
657;12068;CN
658;12052;CN
659;12050;CN
660;12050;CN
661;12060;CN
662;12060;CN
663;12070;CN
664;12030;CN
665;12078;CN
666;12030;CN
667;12034;CN
668;12030;CN
669;12087;CN
670;12070;CN
671;12070;CN
672;12070;CN
673;12016;CN
674;12070;CN
675;12080;CN
676;12026;CN
677;12010;CN
678;12040;CN
679;12060;CN
680;12060;CN
681;12030;CN
682;12020;CN
683;12027;CN
684;12028;CN
685;12070;CN
686;12040;CN
687;12070;CN
688;12077;CN
689;12035;CN
690;12036;CN
691;12030;CN
692;12010;CN
693;12010;CN
694;12073;CN
695;12017;CN
696;12080;CN
697;12020;CN
698;12060;CN
699;12047;CN
700;12088;CN
701;12010;CN
702;12018;CN
703;12050;CN
704;12060;CN
705;12050;CN
706;12050;CN
707;12020;CN
708;12030;CN
709;12070;CN
710;12070;CN
711;12079;CN
712;12040;CN
713;12037;CN
714;12010;CN
715;12020;CN
716;12050;CN
717;12029;CN
718;12040;CN
719;12030;CN
720;12080;CN
721;12040;CN
722;12069;CN
723;12058;CN
724;12040;CN
725;12038;CN
726;12070;CN
727;12030;CN
728;12050;CN
729;12050;CN
730;12050;CN
731;12060;CN
732;12048;CN
733;12040;CN
734;12020;CN
735;12020;CN
736;12050;CN
737;12080;CN
738;12030;CN
739;12070;CN
740;12050;CN
741;12050;CN
742;12049;CN
743;12010;CN
744;12020;CN
745;12010;CN
746;12020;CN
747;12060;CN
748;12019;CN
749;12039;CN
750;12040;CN
751;12080;CN
752;12010;CN
753;12020;CN
754;12089;CN
755;12030;CN
756;12020;CN
757;12010;CN
758;12070;CN
759;12020;CN
760;14041;AT
761;14022;AT
762;14010;AT
763;14020;AT
764;14100;AT
765;14030;AT
766;14011;AT
767;14040;AT
768;14020;AT
769;14046;AT
770;14051;AT
771;14021;AT
772;14042;AT
773;14031;AT
774;14052;AT
775;14020;AT
776;14053;AT
777;14010;AT
778;14014;AT
779;14032;AT
780;14050;AT
781;14054;AT
782;14030;AT
783;14040;AT
784;14033;AT
785;14013;AT
786;14040;AT
787;14034;AT
788;14043;AT
789;14040;AT
790;14022;AT
791;14044;AT
792;14010;AT
793;14010;AT
794;14020;AT
795;14030;AT
796;14050;AT
797;14025;AT
798;14020;AT
799;14010;AT
800;14054;AT
801;14023;AT
802;14020;AT
803;14013;AT
804;14020;AT
805;14010;AT
806;14040;AT
807;14020;AT
808;14055;AT
809;14026;AT
810;14010;AT
811;14012;AT
812;14044;AT
813;14030;AT
814;14031;AT
815;14035;AT
816;14045;AT
817;14057;AT
818;14051;AT
819;14040;AT
820;14018;AT
821;14050;AT
822;14050;AT
823;14046;AT
824;14047;AT
825;14013;AT
826;14058;AT
827;14036;AT
828;14024;AT
829;14040;AT
830;14040;AT
831;14014;AT
832;14048;AT
833;14025;AT
834;14048;AT
835;14030;AT
836;14049;AT
837;14050;AT
838;14020;AT
839;14030;AT
840;14020;AT
841;14020;AT
842;14026;AT
843;14037;AT
844;14040;AT
845;14030;AT
846;14010;AT
847;14018;AT
848;14020;AT
849;14030;AT
850;14050;AT
851;14042;AT
852;14030;AT
853;14015;AT
854;14059;AT
855;14010;AT
856;14050;AT
857;14010;AT
858;14030;AT
859;14050;AT
860;14058;AT
861;14020;AT
862;14020;AT
863;14016;AT
864;14039;AT
865;14049;AT
866;14017;AT
867;14059;AT
868;14010;AT
869;14030;AT
870;14040;AT
871;14018;AT
872;14019;AT
873;14020;AT
874;14040;AT
875;14026;AT
876;14023;AT
877;15011;AL
878;15060;AL
879;15121;AL
880;15122;AL
881;15021;AL
882;15010;AL
883;15041;AL
884;15050;AL
885;15061;AL
886;15050;AL
887;15031;AL
888;15060;AL
889;15042;AL
890;15070;AL
891;15022;AL
892;15050;AL
893;15012;AL
894;15060;AL
895;15013;AL
896;15032;AL
897;15062;AL
898;15060;AL
899;15040;AL
900;15050;AL
901;15060;AL
902;15030;AL
903;15020;AL
904;15060;AL
905;15060;AL
906;15050;AL
907;15026;AL
908;15051;AL
909;15071;AL
910;15060;AL
911;15060;AL
912;15015;AL
913;15072;AL
914;15070;AL
915;15033;AL
916;15052;AL
917;15050;AL
918;15016;AL
919;15070;AL
920;15051;AL
921;15050;AL
922;15073;AL
923;15010;AL
924;15060;AL
925;15020;AL
926;15040;AL
927;15017;AL
928;15053;AL
929;15070;AL
930;15010;AL
931;15034;AL
932;15020;AL
933;15050;AL
934;15020;AL
935;15030;AL
936;15030;AL
937;15050;AL
938;15010;AL
939;15010;AL
940;15056;AL
941;15054;AL
942;15023;AL
943;15060;AL
944;15060;AL
945;15010;AL
946;15035;AL
947;15040;AL
948;15064;AL
949;15065;AL
950;15043;AL
951;15020;AL
952;15010;AL
953;15050;AL
954;15066;AL
955;15036;AL
956;15056;AL
957;15010;AL
958;15060;AL
959;15050;AL
960;15050;AL
961;15070;AL
962;15015;AL
963;15024;AL
964;15010;AL
965;15010;AL
966;15040;AL
967;15074;AL
968;15050;AL
969;15020;AL
970;15050;AL
971;15020;AL
972;15060;AL
973;15059;AL
974;15050;AL
975;15060;AL
976;15010;AL
977;15040;AL
978;15010;AL
979;15050;AL
980;15050;AL
981;15025;AL
982;15010;AL
983;15075;AL
984;15010;AL
985;15020;AL
986;15067;AL
987;15040;AL
988;15020;AL
989;15020;AL
990;15030;AL
991;15010;AL
992;15038;AL
993;15076;AL
994;15026;AL
995;15039;AL
996;15050;AL
997;15010;AL
998;15060;AL
999;15060;AL
1000;15040;AL
1001;15040;AL
1002;15040;AL
1003;15055;AL
1004;15027;AL
1005;15010;AL
1006;15020;AL
1007;15010;AL
1008;15050;AL
1009;15068;AL
1010;15010;AL
1011;15077;AL
1012;15044;AL
1013;15028;AL
1014;15010;AL
1015;15010;AL
1016;15040;AL
1017;15060;AL
1018;15078;AL
1019;15060;AL
1020;15030;AL
1021;15030;AL
